
cls,count
http://dbpedia.org/class/yago/AcademicsOfTheUCLInstituteOfArchaeology,8
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfReading,80
http://dbpedia.org/class/yago/AcademicsOfTheSladeSchoolOfArt,1
http://dbpedia.org/class/yago/AcademicsOfTheUnitedNationsUniversity,6
http://dbpedia.org/class/yago/AcademicsOfTheFarnhamSchoolOfArt,1
http://dbpedia.org/class/yago/AcademiciansOfTheSocialSciences,53
http://dbpedia.org/class/yago/AbbotsOfJ%C4%99drzej%C3%B3w,1
http://dbpedia.org/class/yago/AcademicsOfAberystwythUniversity,67
http://dbpedia.org/class/yago/AbbotsOfKilwinning,4
http://dbpedia.org/class/yago/AbbotsOfSulej%C3%B3w,1
http://dbpedia.org/class/yago/AbbotsOfEinsiedeln,2
http://dbpedia.org/class/yago/AbbotsOfGloucester,2
http://dbpedia.org/class/yago/AbbessesOfQuedlinburg,19
http://dbpedia.org/class/yago/AcademicsOfTheRoyalDanishAcademyOfMusic,13
http://dbpedia.org/class/yago/AcademiesInBerkshire,3
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfLiverpool,85
http://dbpedia.org/class/yago/AcademicsOfNottinghamTrentUniversity,13
http://dbpedia.org/class/yago/AcademiesInBradfordDistrict,4
http://dbpedia.org/class/yago/Abortifacients,11
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfTheWestOfEngland,14
http://dbpedia.org/class/yago/AcademiesInBromley,15
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfAberdeen,123
http://dbpedia.org/class/yago/AbbotsOfCzerwi%C5%84sk,3
http://dbpedia.org/class/yago/AcademicsOfGlasgowCaledonianUniversity,7
http://dbpedia.org/class/yago/AcademiesInBedford(borough),5
http://dbpedia.org/class/yago/AcademicsOfBuckinghamshireNewUniversity,2
http://dbpedia.org/class/yago/Abrasives,9
http://dbpedia.org/class/yago/AbbotsOfTyniec,2
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfKent,60
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfStAndrews,150
http://dbpedia.org/class/yago/AcademicsAtQueensCollegeCork,7
http://dbpedia.org/class/yago/AcademicsFromGeorgia(country),2
http://dbpedia.org/class/yago/AbbeysInBrussels,4
"http://dbpedia.org/class/yago/AcademicsOfRoyalHolloway,UniversityOfLondon",65
http://dbpedia.org/class/yago/AcademiesInBrightonAndHove,1
http://dbpedia.org/class/yago/AcademicsOfTheInstituteOfCancerResearch,4
http://dbpedia.org/class/yago/AcademiesInBedfordshire,1
http://dbpedia.org/class/yago/AcademicsOfBedfordCollege(London),9
"http://dbpedia.org/class/yago/AcademicsOfTrinityCollege,Dublin",14
http://dbpedia.org/class/yago/AcademicsOfBartsAndTheLondonSchoolOfMedicineAndDentistry,3
"http://dbpedia.org/class/yago/AcademicsOfBirkbeck,UniversityOfLondon",115
http://dbpedia.org/class/yago/AcademicsOfCranfieldUniversity,18
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfLondon,136
http://dbpedia.org/class/yago/AbbessesOfWhitby,3
http://dbpedia.org/class/yago/AcademicsOfChineseUniversityOfHongKong,7
"http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfMusicAndPerformingArts,Vienna",1
http://dbpedia.org/class/yago/AcademicsOfTheConservatoireDeParis,56
http://dbpedia.org/class/yago/AcademicsOfTrinityCollegeOfMusic,1
http://dbpedia.org/class/yago/AcademicsOfAngliaRuskinUniversity,5
http://dbpedia.org/class/yago/AcademicsOfLiverpoolCollegeOfArt,3
http://dbpedia.org/class/yago/AbbotsOfEynsham,4
http://dbpedia.org/class/yago/AcademicDegreesInHealthcare,12
http://dbpedia.org/class/yago/AcademicDegreesOfJapan,3
"http://dbpedia.org/class/yago/AcademicsOfQueenMary,UniversityOfLondon",108
http://dbpedia.org/class/yago/AcademicsOfTheMedicalCollegeOfStBartholomew'sHospital,7
http://dbpedia.org/class/yago/AcademiesInBuckinghamshire,23
http://dbpedia.org/class/yago/AbbotsOfIona,13
http://dbpedia.org/class/yago/AcademicsOfTheLondonSchoolOfEconomics,263
http://dbpedia.org/class/yago/AcademicsOfTheUCLSchoolOfSlavonicAndEastEuropeanStudies,9
http://dbpedia.org/class/yago/AcademicsOfTheSchoolOfAdvancedStudy,5
http://dbpedia.org/class/yago/AcademicsOfTheRoyalAcademyOfDramaticArt,4
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfSouthampton,96
http://dbpedia.org/class/yago/AcademicsOfTheNationalUniversityOfSingaporeFacultyOfLaw,12
http://dbpedia.org/class/yago/AcademicsOfLancasterUniversity,54
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfEastAnglia,132
http://dbpedia.org/class/yago/AbbessesOfRemiremont,15
http://dbpedia.org/class/yago/AcademicsOfTheUniversityForTheCreativeArts,5
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfGhana,23
http://dbpedia.org/class/yago/17th-centuryAcademics,17
http://dbpedia.org/class/yago/AcademiesInBathAndNorthEastSomerset,8
http://dbpedia.org/class/yago/AcademiesInBracknellForest,1
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfHull,39
http://dbpedia.org/class/yago/AbbotsOfP%C5%82ock,1
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfNorthLondon,12
http://dbpedia.org/class/yago/AcademicsOfTheVictoriaUniversityOfManchester,37
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfBath,35
http://dbpedia.org/class/yago/AcademicsAtUniversityCollegeCork,19
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfBradford,23
http://dbpedia.org/class/yago/AbbessesOfEly,4
http://dbpedia.org/class/yago/AcademicsOfHeythropCollege,6
http://dbpedia.org/class/yago/AcademicsOfRoehamptonUniversity,6
http://dbpedia.org/class/yago/AbbotsOfAbingdon,18
http://dbpedia.org/class/yago/AbbotsOfWestminster,10
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfSalford,47
http://dbpedia.org/class/yago/Abbreviations,171
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfJaffna,2
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfSunderland,12
http://dbpedia.org/class/yago/AcademiesInCalderdale,5
http://dbpedia.org/class/yago/AcademicAdministrators,80
http://dbpedia.org/class/yago/AcademicsAtUniversityCollegeDublin,21
"http://dbpedia.org/class/yago/AcademiesInBirmingham,WestMidlands",12
http://dbpedia.org/class/yago/AaltoUniversityAcademics,1
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfEdinburgh,356
http://dbpedia.org/class/yago/AcademicsOfTheMadridRoyalConservatory,17
http://dbpedia.org/class/yago/AcademicsOfTheSchoolOfOrientalAndAfricanStudies,76
http://dbpedia.org/class/yago/AbbotsOfGlastonbury,10
http://dbpedia.org/class/yago/AcademicsInBritishColumbia,6
http://dbpedia.org/class/yago/AcademicsOfThePragueConservatory,14
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfLeicester,84
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfGloucestershire,6
http://dbpedia.org/class/yago/AcademicsOfManchesterMetropolitanUniversity,10
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfMalaya,1
http://dbpedia.org/class/yago/AcademicsOfSwanseaUniversity,41
http://dbpedia.org/class/yago/AcademiesInBristol,9
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfBolton,2
http://dbpedia.org/class/yago/AcademicsOfCanterburyChristChurchUniversity,4
http://dbpedia.org/class/yago/AbbotsOfTewkesbury,2
http://dbpedia.org/class/yago/AcademicsOfImperialCollegeLondon,197
http://dbpedia.org/class/yago/AcademicsOfTheRoyalCollegeOfMusic,129
http://dbpedia.org/class/yago/AcademicsOfTheCourtauldInstituteOfArt,12
http://dbpedia.org/class/yago/Aberrance114503665,56
http://dbpedia.org/class/yago/AbbotsOfBurySt.Edmunds,3
http://dbpedia.org/class/yago/AcademicsOfTheKwameNkrumahUniversityOfScienceAndTechnology,1
http://dbpedia.org/class/yago/AcademicsFromLiverpool,26
http://dbpedia.org/class/yago/AcademiesInBarnsley,1
http://dbpedia.org/class/yago/AcademicsOfLondonSouthBankUniversity,15
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfHongKong,19
http://dbpedia.org/class/yago/AbbotsOfBattle,2
http://dbpedia.org/class/yago/AcademicsOfTheRoyalAgriculturalCollege,5
http://dbpedia.org/class/yago/AcademicsFromMelbourne,24
http://dbpedia.org/class/yago/AcademicsOfStaffordshireUniversity,6
http://dbpedia.org/class/yago/AcademicsOfCardiffUniversity,92
http://dbpedia.org/class/yago/AbbotsOfBurton,1
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfNorthampton,4
http://dbpedia.org/class/yago/AcademicsOfBathSpaUniversity,11
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfSurrey,24
http://dbpedia.org/class/yago/AcademicsOfTheNationalUniversityOfMalaysia,3
http://dbpedia.org/class/yago/AbbotsOfFarfa,25
http://dbpedia.org/class/yago/AbbotsOfStAugustine's,6
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfLeeds,107
http://dbpedia.org/class/yago/AcademicsOfLeedsMetropolitanUniversity,8
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfWales,17
"http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfWales,Newport",3
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfWarwick,123
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfDundee,28
http://dbpedia.org/class/yago/AbattoirsInIndia,2
http://dbpedia.org/class/yago/AbbessesOfEssen,3
http://dbpedia.org/class/yago/AcademiesInBarnet,11
http://dbpedia.org/class/yago/Abbesses,6
http://dbpedia.org/class/yago/AbbotsOfPeterborough,3
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfLondonInstituteInParis,2
http://dbpedia.org/class/yago/AcademicsOfTheNationalConservatoryOfMusicOfMexico,12
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfStirling,16
http://dbpedia.org/class/yago/AcademicsOfUniversityOfNewcastle,1
http://dbpedia.org/class/yago/AcademicsOfTheRoyalCollegeOfArt,65
http://dbpedia.org/class/yago/AcademicsOfQueen'sUniversityBelfast,86
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfManchesterInstituteOfScienceAndTechnology,25
http://dbpedia.org/class/yago/AbbotsOfArbroath,13
http://dbpedia.org/class/yago/AcademicsOfLondonGuildhallUniversity,2
http://dbpedia.org/class/yago/AcademicsOfTheLondonAcademyOfMusicAndDramaticArt,1
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfDerby,9
http://dbpedia.org/class/yago/AcademicsOfQueenElizabethCollege,2
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfGreenwich,7
"http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfWales,Lampeter",28
http://dbpedia.org/class/yago/Abolitionists,34
http://dbpedia.org/class/yago/Academics,333
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfChichester,10
http://dbpedia.org/class/yago/AcademicsOfNorthumbriaUniversity,4
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfGlamorgan,16
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfEssex,72
http://dbpedia.org/class/yago/AcademicsOfEdgeHillUniversity,3
http://dbpedia.org/class/yago/AcademicsOfKeeleUniversity,44
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfWestLondon,17
http://dbpedia.org/class/yago/AcademicsOfTheLondonSchoolOfHygiene&TropicalMedicine,14
http://dbpedia.org/class/yago/AcademicDegrees,49
http://dbpedia.org/class/yago/AbbotsOfMalmesbury,2
http://dbpedia.org/class/yago/AbbotsOfMogi%C5%82a,4
http://dbpedia.org/class/yago/AcademiesInBournemouth,4
http://dbpedia.org/class/yago/AbbotsOfStAlbans,10
http://dbpedia.org/class/yago/AbbeysAndChurchesInTheHarz,6
http://dbpedia.org/class/yago/AcademicDegreesOfNorway,8
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfHuddersfield,7
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfSussex,100
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfPlymouth,14
"http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfWales,TrinitySaintDavid",1
http://dbpedia.org/class/yago/AcademicDegreesOfTheUnitedKingdom,5
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfWestminster,28
http://dbpedia.org/class/yago/AbbotsOfMelrose,8
http://dbpedia.org/class/yago/AcademicsOfUniversityCollegeLondon,345
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfHertfordshire,26
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfBirmingham,134
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfExeter,83
http://dbpedia.org/class/yago/AcademicsOfTheWarburgInstitute,9
http://dbpedia.org/class/yago/AcademiesInCambridgeshire,17
http://dbpedia.org/class/yago/AbnormalitiesOfDermalFibrousAndElasticTissue,49
http://dbpedia.org/class/yago/16th-centuryAcademics,50
http://dbpedia.org/class/yago/AcademicsOfKing'sCollegeLondon,338
http://dbpedia.org/class/yago/AbbotsOfFurness,1
http://dbpedia.org/class/yago/AbbotsOfW%C4%85chock,1
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfSheffield,136
http://dbpedia.org/class/yago/AcademicsOfTheAcademyOfMusicInKrak%C3%B3w,23
http://dbpedia.org/class/yago/AcademicsWhoCommittedSuicide,6
http://dbpedia.org/class/yago/AbbotsOfDunfermline,9
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfLincoln,4
http://dbpedia.org/class/yago/AcademicsOfBangorUniversity,37
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfYork,62
http://dbpedia.org/class/yago/AcademicsOfThe%C3%89coleNormaleDeMusiqueDeParis,9
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfBristol,132
http://dbpedia.org/class/yago/AbbessesOfFontevraud,4
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfLuxembourg,5
http://dbpedia.org/class/yago/AcademicsOfDeMontfortUniversity,29
http://dbpedia.org/class/yago/AbbotsOfRievaulx,2
http://dbpedia.org/class/yago/AcademicsInQuebec,53
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfCeylon,2
http://dbpedia.org/class/yago/AcademicsOfWyeCollege,2
http://dbpedia.org/class/yago/AbbotsOfLiessies,1
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfAbertayDundee,2
http://dbpedia.org/class/yago/AbbotsOfSaintGall,3
http://dbpedia.org/class/yago/AcademicsOfLondonMetropolitanUniversity,19
http://dbpedia.org/class/yago/AcademicsOfTheSibeliusAcademy,8
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfCentralLancashire,6
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfChester,7
http://dbpedia.org/class/yago/AbbotsOfWearmouth,4
http://dbpedia.org/class/yago/AcademicsOfBirminghamCityUniversity,13
http://dbpedia.org/class/yago/AcademicDegreesOfIndia,4
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfSouthernCalifornia,6
http://dbpedia.org/class/yago/AcademicsOfKingstonUniversity,23
http://dbpedia.org/class/yago/AcademicsOfRuskinCollege,7
http://dbpedia.org/class/yago/AcademiesInBlackburnWithDarwen,1
http://dbpedia.org/class/yago/AcademiesInCentralBedfordshire,1
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfBuckingham,16
http://dbpedia.org/class/yago/AcademicsOfTheLondonHospitalMedicalCollege,1
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfCambridge,422
"http://dbpedia.org/class/yago/AcademicsOfWestminsterCollege,Oxford",1
http://dbpedia.org/class/yago/AcademicsOfTheGuildhallSchoolOfMusicAndDrama,16
http://dbpedia.org/class/yago/AcademicsOfTheSaintPetersburgConservatory,15
http://dbpedia.org/class/yago/AbbotsOfEly,2
"http://dbpedia.org/class/yago/AcademicsOfTheFacultyOfLaw,UniversityOfOslo",44
http://dbpedia.org/class/yago/AbbotsOfTavistock,4
http://dbpedia.org/class/yago/AcademicDegreesOfDenmark,5
http://dbpedia.org/class/yago/AcademicsOfTheUniversityOfEastLondon,13
