"p","s_count","o_count","t","card","inverseCard"
"http://www.wikidata.org/entity/P1953s",1,1,1,1,1
"http://www.wikidata.org/entity/P1968c",1,1,1,1,1
"http://www.wikidata.org/entity/P452s",3,3,3,1,1
"http://www.wikidata.org/entity/P485v",1,1,1,1,1
"http://www.wikidata.org/entity/P856v",51,51,51,1,1
"http://www.wikidata.org/entity/P2043v",10,10,10,1,1
"http://www.wikidata.org/entity/P39v",20,15,20,1,1
"http://www.wikidata.org/entity/P495v",87,20,87,1,4
"http://www.wikidata.org/entity/P520s",1,2,2,2,1
"http://www.wikidata.org/entity/P685s",738,738,738,1,1
"http://www.wikidata.org/entity/P850v",1613,1613,1613,1,1
"http://dbpedia.org/property/established(college)_",1,1,1,1,1
"http://dbpedia.org/property/%5B25%5D_",1,1,1,1,1
"http://dbpedia.org/property/brother(s)_",1,1,1,1,1
"http://dbpedia.org/property/sisterStation(s)_",1,4,4,4,1
"http://dbpedia.org/property/users(latestAvailableFigure)_",1,1,1,1,1
"http://www.wikidata.org/entity/P652s",1,1,1,1,1
"http://dbpedia.org/property/voiceType(s)_",10,9,13,1,1
"http://dbpedia.org/property/website(currentlyDown)_",1,1,1,1,1
"http://dbpedia.org/property/''translate''_",1,1,1,1,1
"http://dbpedia.org/property/''almaMatter''_",1,1,1,1,1
"http://dbpedia.org/property/voiceActor(allUnc.)_",1,4,4,4,1
"http://www.wikidata.org/entity/P843s",2,2,2,1,1
"http://dbpedia.org/property/officialLanguage(s)_",1,2,2,2,1
"http://dbpedia.org/property/usnwrg(partTimeMba)_",1,1,1,1,1
"http://dbpedia.org/property/catalog%23_",10,10,10,1,1
"http://dbpedia.org/property/sat(twoPart)_",1,1,1,1,1
"http://dbpedia.org/property/clipRequested%3F_",5,3,5,1,1
"http://dbpedia.org/property/mostSuccessfulClub(s)_",1,1,1,1,1
"http://dbpedia.org/property/blankPhone%23_",1,1,1,1,1
"http://www.wikidata.org/entity/P1071c",7,7,7,1,1
"http://www.wikidata.org/entity/P2481c",360,360,360,1,1
"http://www.wikidata.org/entity/P952c",7,6,7,1,1
"http://www.wikidata.org/entity/P2181c",12,12,12,1,1
"http://www.wikidata.org/entity/P1050c",44,15,45,1,3
"http://www.wikidata.org/entity/P1273c",115,115,115,1,1
"http://www.wikidata.org/entity/P1435c",2609,53,2612,1,49
"http://www.wikidata.org/entity/P2267c",1,1,1,1,1
"http://dbpedia.org/property/arpeggio",1,1,1,1,1
"http://dbpedia.org/property/boatname",49,119,182,3,1
"http://dbpedia.org/property/boxstyleLta",3,1,3,1,3
"http://dbpedia.org/property/bsses",1,2,2,2,1
"http://dbpedia.org/property/buildmodel",798,677,843,1,1
"http://dbpedia.org/property/cancelledShows",1,1,1,1,1
"http://dbpedia.org/property/tvChannelWebsite",1,1,1,1,1
"http://dbpedia.org/property/urbanpopulation",3,3,3,1,1
"http://dbpedia.org/property/12thGrade",1,1,1,1,1
"http://dbpedia.org/property/2001MedianHhIncome",1,1,1,1,1
"http://dbpedia.org/property/3deep",198,3,198,1,66
"http://dbpedia.org/property/aSocks",159,57,159,1,2
"http://dbpedia.org/property/animatorEffects",2,1,2,1,2
"http://dbpedia.org/property/managingAuthorities",964,85,1009,1,11
"http://dbpedia.org/property/pkw",15,10,101,6,10
"http://dbpedia.org/property/productionDes",1,1,1,1,1
"http://dbpedia.org/property/projects",4,9,9,2,1
"http://dbpedia.org/property/query",18,18,18,1,1
"http://dbpedia.org/property/season20Year",2,1,2,1,2
"http://dbpedia.org/property/survivingtime",1,3,3,3,1
"http://dbpedia.org/property/cyears8.",1,1,1,1,1
"http://dbpedia.org/property/gyeongbu",1,1,1,1,1
"http://dbpedia.org/property/home18pos",11,4,19,1,4
"http://dbpedia.org/property/honorificTitle",2,2,2,1,1
"http://dbpedia.org/property/infraclassisAuthority",7,8,8,1,1
"http://dbpedia.org/property/insetMapSize",1,1,1,1,1
"http://dbpedia.org/property/kickboxinglosses",19,13,19,1,1
"http://dbpedia.org/property/librlaryName",3,3,3,1,1
"http://dbpedia.org/property/firstChampion",5,5,5,1,1
"http://dbpedia.org/property/glr",1,2,2,2,1
"http://dbpedia.org/property/greatLakesWinner",11,10,11,1,1
"http://dbpedia.org/property/halfbrothers",435,448,763,1,1
"http://dbpedia.org/property/headquarter",89,98,117,1,1
"http://dbpedia.org/property/holes",550,21,551,1,26
"http://dbpedia.org/property/confirmedPlanets",1,7,7,7,1
"http://dbpedia.org/property/correctionsStart",5,5,5,1,1
"http://dbpedia.org/property/db1Starter",202,173,202,1,1
"http://dbpedia.org/property/decom",5,5,5,1,1
"http://dbpedia.org/property/disciples",9,37,37,4,1
"http://dbpedia.org/property/dvdReleaseDates",1,5,5,5,1
"http://dbpedia.org/property/era3PassPercent",1,1,1,1,1
"http://dbpedia.org/property/establishment",1927,249,1948,1,7
"http://dbpedia.org/property/author5Link",1,1,1,1,1
"http://dbpedia.org/property/basedOnBook",1,1,1,1,1
"http://dbpedia.org/property/buildingPrototypes",1,1,1,1,1
"http://dbpedia.org/property/cableAvail",30,8,30,1,3
"http://dbpedia.org/property/chartered",14,103,111,7,1
"http://dbpedia.org/property/choirAdmission",6,5,6,1,1
"http://dbpedia.org/property/climbingType",10,11,16,1,1
"http://dbpedia.org/property/survivingtine",1,1,1,1,1
"http://dbpedia.org/property/2v5a",35,2,38,1,19
"http://dbpedia.org/property/3Body",232,125,232,1,1
"http://dbpedia.org/property/allWritting",2,3,3,1,1
"http://dbpedia.org/property/map2Title",14,16,17,1,1
"http://dbpedia.org/property/mostRedsMatchMatch",7,17,17,2,1
"http://dbpedia.org/property/namedAfter",1165,1151,1172,1,1
"http://dbpedia.org/property/nomenhiero",87,83,87,1,1
"http://dbpedia.org/property/otherNameRegion",1,1,1,1,1
"http://dbpedia.org/property/row71To",6,6,6,1,1
"http://dbpedia.org/property/seatingCapicity",5,4,5,1,1
"http://dbpedia.org/property/shipBackInService",1,2,2,2,1
"http://dbpedia.org/property/clinics",2,2,2,1,1
"http://dbpedia.org/property/dinosaur",3,3,3,1,1
"http://dbpedia.org/property/firstAlbum",83,82,83,1,1
"http://dbpedia.org/property/japanactor",290,506,714,2,1
"http://dbpedia.org/property/list4.",1,2,2,2,1
"http://dbpedia.org/property/whImage",6,2,6,1,3
"http://dbpedia.org/property/subsequentName",1,1,1,1,1
"http://dbpedia.org/property/termDuration",1,1,1,1,1
"http://dbpedia.org/property/towpath",40,16,40,1,2
"http://dbpedia.org/property/vetoed",16,19,20,1,1
"http://dbpedia.org/property/viceprincipa",1,1,1,1,1
"http://dbpedia.org/property/ruNationaltries",2,2,2,1,1
"http://dbpedia.org/property/runnersup",393,199,433,1,2
"http://dbpedia.org/property/session4Start",30,29,30,1,1
"http://dbpedia.org/property/skhanja",3,3,3,1,1
"http://dbpedia.org/property/poplaTinDensitySqMi",1,1,1,1,1
"http://dbpedia.org/property/populationDowntown",1,1,1,1,1
"http://dbpedia.org/property/pumpedStorage",18,5,18,1,3
"http://dbpedia.org/property/rangeNormalAlt",1,1,1,1,1
"http://dbpedia.org/property/rd2Score4Agg",94,16,108,1,6
"http://dbpedia.org/property/receipts",63,63,64,1,1
"http://dbpedia.org/property/regional",38,131,143,3,1
"http://dbpedia.org/property/renovate",2,2,2,1,1
"http://dbpedia.org/property/reportedDeaths",144,103,151,1,1
"http://dbpedia.org/property/nome",9,9,9,1,1
"http://dbpedia.org/property/noshield",10,3,11,1,3
"http://dbpedia.org/property/obverse3Discontinued",3,3,3,1,1
"http://dbpedia.org/property/period14Text",1,1,1,1,1
"http://dbpedia.org/property/mapNote",3,3,3,1,1
"http://dbpedia.org/property/maxBoatLength",1,1,1,1,1
"http://dbpedia.org/property/mothertounge",12,7,12,1,1
"http://dbpedia.org/property/motto.",1,1,1,1,1
"http://dbpedia.org/property/name16b",1,1,1,1,1
"http://dbpedia.org/property/locationPresence",1,1,1,1,1
"http://dbpedia.org/property/longestSpan",1,1,1,1,1
"http://dbpedia.org/property/mainspan",597,485,620,1,1
"http://dbpedia.org/property/manager&Coo",1,1,1,1,1
"http://www.wikidata.org/entity/P247s",1,1,1,1,1
"http://www.wikidata.org/entity/P40v",9,9,9,1,1
"http://dbpedia.org/property/tenunre",1,1,1,1,1
"http://dbpedia.org/property/totalPoints",64,55,64,1,1
"http://dbpedia.org/property/turnoutneeded",10,3,10,1,3
"http://dbpedia.org/property/twenty20debutagainst",1,1,1,1,1
"http://dbpedia.org/property/ulc",191,118,193,1,1
"http://dbpedia.org/property/week2dropped",59,107,254,4,2
"http://dbpedia.org/property/week41Color",15,1,15,1,15
"http://dbpedia.org/property/womenGold",28,16,32,1,2
"http://dbpedia.org/property/snowboarding",3,3,3,1,1
"http://dbpedia.org/property/subheaderstyle",12,8,12,1,1
"http://dbpedia.org/property/teamColour",187,34,188,1,5
"http://dbpedia.org/property/proViceCancellor",1,1,1,1,1
"http://dbpedia.org/property/racewins",62,183,250,4,1
"http://dbpedia.org/property/rd1Score10secondleg",32,5,32,1,6
"http://dbpedia.org/property/rd1Score15Agg",266,36,275,1,7
"http://dbpedia.org/property/relationship",34,27,34,1,1
"http://dbpedia.org/property/rugbycaptainLabel",1,1,1,1,1
"http://dbpedia.org/property/numberOfTerms",1,1,1,1,1
"http://dbpedia.org/property/oaux",39,84,91,2,1
"http://dbpedia.org/property/officeholderSort",11,192,210,19,1
"http://dbpedia.org/property/ohsaaFootballPlayoffAppearances",1,1,1,1,1
"http://dbpedia.org/property/origtitle",2,2,2,1,1
"http://dbpedia.org/property/populationByAgeFootnotes",1,1,1,1,1
"http://dbpedia.org/property/postdoc",2,2,2,1,1
"http://dbpedia.org/property/mass/powerMain",2,2,2,1,1
"http://dbpedia.org/property/masterton",22,5,22,1,4
"http://dbpedia.org/property/ncaacollegecup",36,25,38,1,1
"http://dbpedia.org/property/literaryArtsJournal",1,1,1,1,1
"http://dbpedia.org/property/localOtherName",1,1,1,1,1
"http://dbpedia.org/property/loys",1,1,1,1,1
"http://dbpedia.org/property/lyricsLength",1,1,1,1,1
"http://dbpedia.org/property/mainName",241,68,241,1,3
"http://dbpedia.org/property/map2Image",3,3,3,1,1
"http://dbpedia.org/property/mapcolor",1,1,1,1,1
"http://dbpedia.org/property/marRecHighF",1,1,1,1,1
"http://dbpedia.org/property/webTourism",1,1,1,1,1
"http://dbpedia.org/property/webservice",26,26,27,1,1
"http://dbpedia.org/property/include'capacity'Field%3F_",15,2,15,1,7
"http://www.wikidata.org/entity/P1711s",6,6,6,1,1
"http://dbpedia.org/property/studentAffairs",2,2,2,1,1
"http://dbpedia.org/property/sublistof",56,19,57,1,3
"http://dbpedia.org/property/sunAltitudeAugust",1,1,1,1,1
"http://dbpedia.org/property/theManhattansFeaturingGeraldAlstonAndBlueLovett",1,4,4,4,1
"http://dbpedia.org/property/thisImageWasCroppedFromAnImageICreatedIn2002;ItComprisesAlmost50%25OfMyImage;IChallengeThe%22fairUse%22Claim.MichaelCaloSystemMap",1,1,1,1,1
"http://dbpedia.org/property/titol",1,1,1,1,1
"http://dbpedia.org/property/usaMembers",1,1,1,1,1
"http://dbpedia.org/property/usedname",1,1,1,1,1
"http://dbpedia.org/property/salaryGrowth",1,1,1,1,1
"http://dbpedia.org/property/season18Saves",1,1,1,1,1
"http://dbpedia.org/property/season3PlayoffLoss",3,1,3,1,3
"http://dbpedia.org/property/season8GoalsAgainst",8,8,8,1,1
"http://dbpedia.org/property/seatsAfter",181,93,428,2,4
"http://dbpedia.org/property/shieldSeal",1,1,1,1,1
"http://dbpedia.org/property/southCustomStation",23,24,28,1,1
"http://dbpedia.org/property/practicalName",8,8,8,1,1
"http://dbpedia.org/property/preofotbanen",2,2,2,1,1
"http://dbpedia.org/property/proChancellor",27,27,27,1,1
"http://dbpedia.org/property/r7Number",3,2,3,1,1
"http://dbpedia.org/property/rangeMi",4,4,4,1,1
"http://dbpedia.org/property/romney",99,95,99,1,1
"http://dbpedia.org/property/northWest",8,8,8,1,1
"http://dbpedia.org/property/note12At",5,5,5,1,1
"http://dbpedia.org/property/numInterns",1,1,1,1,1
"http://dbpedia.org/property/objno",5,221,221,44,1
"http://dbpedia.org/property/octRecordLowMaximumC",1,1,1,1,1
"http://dbpedia.org/property/openined",1,1,1,1,1
"http://dbpedia.org/property/oppositionParty",208,120,280,1,2
"http://dbpedia.org/property/overriddenbody",13,4,25,1,6
"http://dbpedia.org/property/overturnedPreviousCase",38,41,41,1,1
"http://dbpedia.org/property/peak11b",12,13,13,1,1
"http://dbpedia.org/property/markerType",17,8,17,1,2
"http://dbpedia.org/property/maxCost",2,2,2,1,1
"http://dbpedia.org/property/maxmeps",3,2,3,1,1
"http://dbpedia.org/property/medicaldirector",6,6,6,1,1
"http://dbpedia.org/property/musicSupv.",1,1,1,1,1
"http://dbpedia.org/property/near",44,44,44,1,1
"http://dbpedia.org/property/link4Name",19,19,19,1,1
"http://dbpedia.org/property/listenerLine",1,1,1,1,1
"http://dbpedia.org/property/loci1rows",5,2,5,1,2
"http://dbpedia.org/property/logowidth",37,13,37,1,2
"http://dbpedia.org/property/londonlabel",1,1,1,1,1
"http://dbpedia.org/property/longdew",1,1,1,1,1
"http://dbpedia.org/property/managerteam",3,4,4,1,1
"http://dbpedia.org/property/yearsOfSeason",10,1,10,1,10
"http://www.wikidata.org/entity/P646v",28,28,28,1,1
"http://dbpedia.org/property/tsunami",186,33,190,1,5
